population,edge_ids,@source_node,@target_node,efferent_section_id,efferent_surface_z,afferent_center_y,efferent_center_z,efferent_segment_id,afferent_surface_z,afferent_segment_id,afferent_center_z,efferent_surface_x,efferent_section_type,efferent_segment_offset,afferent_center_x,afferent_section_type,afferent_section_id,afferent_section_pos,afferent_surface_y,afferent_segment_offset,efferent_surface_y,afferent_surface_x,efferent_center_y,efferent_section_pos,efferent_center_x
V1_neurons__V1_neurons__chemical_synapse,35680753,45243,16297,11,8420.235,926.8241,8420.219,8,8421.544,11,8421.697,9123.306,2,0.8642273,9124.573,3,162,0.20465578,926.64307,0.03799836,925.2124,9124.429,925.1199,0.44953734,9123.266
V1_neurons__V1_neurons__chemical_synapse,35680754,45243,16297,11,8413.999,927.0243,8413.981,19,8414.43,9,8414.632,9121.3125,2,0.31818956,9121.197,3,149,0.51723355,927.05023,0.43155026,927.14056,9121.265,927.10974,0.9402725,9121.408
V1_neurons__V1_neurons__chemical_synapse,35680755,45243,16297,12,8412.825,927.1964,8412.7705,0,8414.267,9,8414.473,9121.028,2,0.4846765,9120.658,3,149,0.5489417,927.1989,1.0189381,927.212,9120.72,927.2329,0.064014085,9121.112
V1_neurons__V1_neurons__chemical_synapse,35680756,45243,16297,13,8412.714,927.19525,8412.678,0,8414.2705,9,8414.474,9121.068,2,0.5387168,9120.662,3,149,0.548726,927.21313,1.0149423,927.37024,9120.728,927.3739,0.017579215,9121.164
V1_neurons__V1_neurons__chemical_synapse,35680757,45243,16297,18,8418.869,922.7459,8418.939,19,8417.435,17,8417.291,9112.041,2,0.53493994,9111.571,3,150,0.29706338,922.8934,0.8595906,924.39435,9111.606,924.4661,0.9170316,9112.022
V1_neurons__V1_neurons__chemical_synapse,35680758,45243,16297,19,8418.752,923.1934,8418.82,2,8418.4375,20,8418.313,9108.581,2,0.38985974,9108.766,3,150,0.34431812,923.0337,0.63566893,922.6,9108.731,922.53955,0.15040639,9108.628
V1_neurons__V1_neurons__chemical_synapse,35680759,45243,16297,22,8417.244,923.24445,8417.158,3,8418.139,20,8418.332,9108.498,2,0.18588243,9108.592,3,150,0.34708428,923.3112,0.8172886,923.6244,9108.592,923.6683,0.25352567,9108.532
V1_neurons__V1_neurons__chemical_synapse,35680760,45243,16297,31,8432.232,933.8326,8432.127,10,8432.975,1,8433.055,9149.302,2,1.3152175,9148.101,3,184,0.6923303,933.8304,0.2775969,933.769,9148.234,933.73724,0.3619322,9149.458
V1_neurons__V1_neurons__chemical_synapse,35680761,45243,16297,31,8433.417,915.5256,8433.383,16,8433.272,1,8433.533,9147.661,2,0.65821815,9147.046,4,196,0.33716306,915.54987,0.912111,915.5043,9147.652,915.5271,0.5882315,9147.848
V1_neurons__V1_neurons__chemical_synapse,35680762,45243,16297,35,8415.549,927.6009,8415.513,18,8415.392,0,8416.165,9137.399,2,1.0566305,9142.95,1,0,0.0,932.04456,0.0,931.2927,9136.274,931.3479,0.8073786,9137.321
V1_neurons__V1_neurons__chemical_synapse,35680763,45243,16297,36,8411.684,927.6009,8411.594,4,8409.649,0,8416.165,9140.011,2,0.50989956,9142.95,1,0,0.0,929.6839,0.0,929.04504,9138.694,929.0622,0.3900281,9139.965
V1_neurons__V1_neurons__chemical_synapse,35680764,45243,16297,37,8412.171,927.6009,8412.166,0,8411.679,0,8416.165,9138.417,2,0.60740656,9142.95,1,0,0.0,931.8237,0.0,931.40247,9137.759,931.36536,0.49877828,9138.322
V1_neurons__V1_neurons__chemical_synapse,35680765,45243,16297,38,8411.702,927.6009,8411.696,0,8411.612,0,8416.165,9138.191,2,0.1830376,9142.95,1,0,0.0,932.04626,0.0,932.009,9138.009,931.9644,0.0038285113,9138.1
V1_neurons__V1_neurons__chemical_synapse,35680766,45243,16297,38,8403.461,944.6497,8403.411,18,8404.032,10,8404.087,9134.233,2,0.52962554,9132.468,3,133,0.24065652,944.5471,0.7454402,943.5309,9132.632,943.50024,0.31298015,9134.317
